event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
LBN28230,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,Ghobeiry,33.8593,35.5041,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in Ghobeiry (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,146857
LBN28231,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,"Er Rouais",33.8503,35.5175,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in Er Rouais (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,108311
LBN28232,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,"Et Tahouita",33.87,35.5272,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in Et Tahouita (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,50086
LBN28233,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,"Haret Hreik",33.8537,35.5155,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in Haret Hreik (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,90286
LBN28234,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,"El Mrayje",33.828,35.5195,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in El Mrayje (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,40526
LBN28235,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,"Burj el Barajneh",33.8475,35.5033,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in Burj el Barajneh (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,230050
LBN28236,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Mount Lebanon",Baabda,,"Al Hadath",33.8333,35.5333,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out a series of airstrikes targeting residential buildings in Al Hadath (Baabda, Mount Lebanon). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,19937
LBN28237,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Al Nabatieh","Bint Jbeil",,"Kherbet Selm",33.2302,35.4218,1,"An-Nahar; El Nashra; Naharnet; National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out two airstrikes targeting a health center for the Lebanese Health Ministry and a Shia religious community center in Kherbet Selm (Bint Jbeil, Al Nabatieh). Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,2906
LBN28238,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Al Nabatieh","Al Nabatieh",,Yohmor,33.3114,35.5163,1,"National News Agency Lebanon",National,"On 1 November 2024, Israeli warplanes carried out at least five airstrikes targeting the eastern and western residential neighborhoods in Yohmor (Al Nabatieh, Al Nabatieh). The Israeli military also fired artillery shells targeting Al Sharabeek, Al Naboh, Ras Al Arid, Al Trash, and Shawshaba neighborhoods. Casualties unknown. This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah.",0,,1730764851,2547
LBN28239,"01 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,422,"Middle East",Lebanon,"Al Nabatieh","Al Nabatieh",,Arnoun,33.3317,35.5264,1,"National News Agency Lebanon",National,"On 1 November 2024, the Israeli military fired artillery shells towards Arnoun (Al Nabatieh, Al Nabatieh). This event is part of what the Israeli army called its 'new phase' of its war on Gaza, amid hostilities against Hezbollah. Casualties unknown.",0,,1730764851,911
